Date,ABEV3,ALPA4,AMER3,ASAI3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BIDI11,BPAC11,BPAN4,BRAP4,BRFS3,BRKM5,BRML3,CASH3,CCRO3,CIEL3,CMIG4,CMIN3,COGN3,CPFE3,CPLE6,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,DXCO3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,GOLL4,HAPV3,HYPE3,IGTI11,IRBR3,ITSA4,ITUB4,JBSS3,JHSF3,KLBN11,LCAM3,LREN3,LWSA3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PETZ3,POSI3,PRIO3,QUAL3,RADL3,RAIL3,RDOR3,RENT3,RRRP3,SANB11,SBSP3,SOMA3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VBBR3,VIIA3,VIVT3,WEGE3,YDUQ3,IVVB11,SMAL11,BRL,FXI,CO1,CRY,IOE1,DXY,OD1,VIX,BTC,VXEWZ,EEM,UST10Y,NDX,SPX
1/1/2020,17.423,32.783,61.085,#N/A N/A,58.28,12.608,45.751,26.055,27.754,30.884,11.273,15.408,18.309,9.991,12.442,35.2,26.416,18.06,#N/A N/A,18.033,7.668,10.274,#N/A N/A,11.43,29.493,5.471,22.014,16.549,13.423,39.619,26.761,13.635,16.3,45.788,33.692,33.795,19.73,19.591,10.923,48.33,21.851,49.527,27.433,17.422,7.386,36.8,12.661,32.856,#N/A N/A,35.851,11.952,28.252,23.013,6.391,17.837,21.643,49.705,#N/A N/A,11.882,8.755,20.323,31.49,38.667,16.661,25.854,24.53,#N/A N/A,9.81,6.612,34.135,21.957,26.1,#N/A N/A,46.587,#N/A N/A,40.51,58.035,#N/A N/A,52.39,39.212,25.02,14.474,21.125,23.977,8.7,41.88,26.401,11.17,41.389,16.86,45.889,138.71,136.44,4.0249,168.86312,265.2672,746.71511,401.14657,387.67997,4.403,55.38458,7216.21,110.20646,174.10554,1.9175,35099.967,12985.15098
1/2/2020,17.917,32.171,63.34,#N/A N/A,58.8,13.345,46.6,27.103,28.782,31.212,11.036,15.173,18.35,10.255,12.361,35.88,26.903,18.22,#N/A N/A,18.052,7.871,10.341,#N/A N/A,12.2,29.211,5.44,22.561,17.058,13.975,40.443,28.041,14.141,16.3,46.87,34.031,34.211,20.2,19.772,10.965,48.962,22.579,50.414,27.873,18.084,7.705,37.17,13.165,33.141,#N/A N/A,36.716,12.172,28.972,24.262,6.812,18.177,22.178,50.864,#N/A N/A,12.297,8.843,20.936,32.065,38.327,16.661,26.5,24.952,#N/A N/A,9.781,7.156,36.067,22.584,26.4,#N/A N/A,48.758,#N/A N/A,41.664,58.025,#N/A N/A,54.497,40.309,24.844,14.566,22.631,24.09,8.874,42.689,26.989,11.73,41.344,17.143,45.164,140.6,139.5,4.0244,174.31042,267.20613,748.31227,408.58866,390.60901,4.412,50.29525,6960.58,102.40549,178.25972,1.8771,35784.32089,13139.88641
1/3/2020,17.665,32.171,62.484,#N/A N/A,56.76,12.961,46.522,26.68,28.797,30.868,11.326,16.016,18.362,10.698,12.536,35.94,28.098,18.63,#N/A N/A,17.852,7.77,10.229,#N/A N/A,12.15,29.028,5.436,23.145,17.389,13.87,39.981,29.565,14.353,16.17,47.14,33.514,34.069,20.41,19.898,11.068,49.142,22.311,50.815,27.154,17.788,7.721,35.9,13.721,33.822,#N/A N/A,36.43,11.994,28.667,24.502,7.278,18.787,22.981,50.51,#N/A N/A,12.187,9.036,20.936,32.065,40.997,16.661,25.846,24.749,#N/A N/A,9.569,7.57,36.812,22.081,25.63,#N/A N/A,48.051,#N/A N/A,41.664,57.028,#N/A N/A,56.7,40.171,24.852,14.594,23.112,23.808,8.783,42.375,26.831,11.48,41.824,16.924,44.218,140.7,140.9,4.0584,170.90666,277.27434,755.41777,412.52166,391.40955,4.404,56.66744,7269.82,106.38281,175.323,1.7881,35544.08058,13074.94022
1/6/2020,17.749,31.668,62.096,#N/A N/A,55,12.836,45.907,26.527,28.282,31.376,11.317,16.991,18.146,10.943,12.595,35.57,29.558,18.5,#N/A N/A,17.396,7.577,10.371,#N/A N/A,11.99,29.302,5.445,22.137,17.286,13.528,39.638,29.294,14.255,16.08,46.744,33.674,34.122,20.38,19.745,11.35,49.287,22.339,51.054,27.957,17.744,7.681,34.25,13.298,33.049,#N/A N/A,36.09,11.969,28.24,23.923,7.314,18.535,22.474,50.466,#N/A N/A,12.197,8.869,20.653,32.007,40.127,16.661,26.686,25.042,#N/A N/A,9.174,7.718,38.321,21.646,24.9,#N/A N/A,47.491,#N/A N/A,40.591,56.156,#N/A N/A,56.316,40.101,24.876,14.575,22.585,23.29,8.618,42.124,25.488,11.48,41.421,16.967,45.068,141.2,139.1,4.0652,172.36981,279.57476,760.25307,412.57166,392.20395,4.405,56.19084,7575.93,113.03081,175.55147,1.809,35899.31426,13170.48259
1/7/2020,17.787,32.388,61.94,#N/A N/A,56.82,13.251,45.56,26.075,27.791,31.392,11.835,17.686,18.357,10.934,12.65,35.16,28.788,18.8,#N/A N/A,17.786,7.357,10.751,#N/A N/A,12.08,28.962,5.472,22.005,17.598,13.528,40.162,29.384,14.312,16.44,46.843,34.539,34.644,20.5,19.628,11.265,48.718,22.224,51.76,28.245,18.023,7.737,34.45,12.933,32.727,#N/A N/A,36.329,11.807,27.585,24.351,7.377,18.564,22.943,50.44,#N/A N/A,12.162,9.141,20.747,32.093,40.777,16.661,26.323,24.944,#N/A N/A,9.511,7.728,37.346,21.349,25.27,#N/A N/A,47.953,#N/A N/A,40.343,55.198,#N/A N/A,55.564,40.615,24.667,14.732,22.68,23.808,8.7,42.43,25.453,11.65,42.338,17.099,44.227,141.3,139.4,4.0658,172.71137,278.22073,761.77708,420.83241,395.32448,4.402,56.19839,8021.36,112.27452,176.22095,1.8177,36051.93361,13192.47965
1/8/2020,17.703,32.744,62.766,#N/A N/A,56.92,13.215,45.144,25.678,27.361,31.376,11.967,17.206,18.236,10.84,12.647,36.51,30.231,18.25,#N/A N/A,17.662,7.192,11.049,#N/A N/A,12,28.779,5.387,21.59,17.308,13.509,40.108,28.474,14.255,16.48,46.374,35.038,34.935,20.33,19.601,11.213,49.025,22.378,52.294,28.074,18.093,7.689,35.81,12.667,32.303,#N/A N/A,36.467,11.629,27.136,24.948,7.26,18.622,23.039,50.767,#N/A N/A,12.536,9.37,20.389,32.217,40.987,16.308,25.894,24.79,#N/A N/A,9.28,7.57,36.628,21.634,25.6,#N/A N/A,47.717,#N/A N/A,39.968,54.383,#N/A N/A,55.371,42.641,24.17,14.889,22.375,23.62,8.591,42.438,25.33,11.6,42.767,16.452,43.966,141.55,138.2,4.0638,171.44593,264.91417,742.33908,432.81284,393.88581,4.402,54.44829,8004.26,113.91635,176.06525,1.8738,36079.05623,13168.99701
1/9/2020,17.563,33.534,66.119,#N/A N/A,57.28,13.209,44.226,25.425,26.923,31.286,11.782,17.094,18.405,10.84,12.484,36.84,30.841,18.51,#N/A N/A,17.235,6.751,10.959,#N/A N/A,12.1,29.302,5.546,22.061,17.122,13.366,39.249,28.33,14.149,16.43,46.509,35.074,35.448,20.19,20.088,11.375,49.278,22.646,53.058,28.597,17.997,7.697,36.65,12.591,32.994,#N/A N/A,37.876,11.4,26.595,25.252,7.287,18.835,23.383,50.378,#N/A N/A,12.982,9.59,20.238,32.017,41.997,17.088,26.04,24.708,#N/A N/A,9.357,7.28,36.895,22.285,25.93,#N/A N/A,47.972,#N/A N/A,39.337,55.217,#N/A N/A,56.762,42.532,24.298,14.686,22.745,23.667,8.536,41.88,24.662,11.66,42.047,16.209,44.353,143.4,138.8,4.0891,174.59503,267.0626,749.92174,429.92734,398.12223,4.404,51.23092,7786.84,109.48872,178.8664,1.8545,36726.2344,13378.45938
1/10/2020,17.628,33.287,64.894,#N/A N/A,57.5,13.106,43.187,24.981,26.432,30.914,11.73,17.95,18.403,10.764,12.445,36.34,30.487,18.64,#N/A N/A,17.263,6.797,11.123,#N/A N/A,12.2,29.858,5.699,22.287,17.377,13.518,38.027,28.528,14.353,16.37,47.203,35.742,35.925,20.11,20.458,11.42,50.018,22.915,53.439,28.092,18.241,7.864,37.24,12.323,33.169,#N/A N/A,37.894,11.324,26.359,25.118,7.314,18.913,23.373,50.537,#N/A N/A,12.913,9.449,20.04,31.682,42.887,17.039,25.935,24.603,#N/A N/A,9.502,7.444,37.401,21.595,25.67,#N/A N/A,47.019,#N/A N/A,39.004,55.016,#N/A N/A,56.237,42.602,24.37,15.074,22.575,23.61,8.362,41.927,24.759,11.7,43.092,16.539,44.546,143.35,139.4,4.0979,174.76425,264.89097,750.61002,427.90557,396.87173,4.405,51.20084,8043.69,108.76102,179.42127,1.8196,36552.49573,13311.19928
1/13/2020,17.927,33.465,67.217,#N/A N/A,58.3,13.12,43.672,25.287,26.716,30.685,12.783,17.897,18.51,11.028,12.969,36.7,30.089,19.04,#N/A N/A,17.387,6.824,11.436,#N/A N/A,12.55,29.75,5.877,22.089,17.822,14.336,37.629,29.069,14.45,16.65,48.096,35.831,36.049,20.46,20.458,11.4,49.892,22.905,53.582,27.957,19.025,8.278,38,12.391,34.237,#N/A N/A,38.216,11.477,26.709,25.626,7.529,19.814,23.383,51.634,#N/A N/A,13.518,9.713,20.342,32.017,43.727,17.039,25.927,24.651,#N/A N/A,9.656,7.764,38.597,22.1,25.95,#N/A N/A,47.166,#N/A N/A,39.695,57.412,#N/A N/A,54.96,44.173,24.643,15.083,22.794,23.827,8.728,43.451,25.277,12.7,44.395,16.695,46.082,146.05,141.9,4.1426,180.15889,265.26156,756.157,433.03048,402.21007,4.405,50.90378,8131.06,106.68308,184.68736,1.8459,37478.09514,13585.89553
1/14/2020,17.824,33.83,66.42,#N/A N/A,59.19,13.209,43.438,25.341,26.685,31.05,12.687,17.785,18.189,10.84,13.092,36.55,30.328,19.22,#N/A N/A,17.966,6.879,11.555,#N/A N/A,12.79,29.526,5.896,22.061,18.39,14.108,38.444,29.294,14.434,17.36,48.763,35.208,35.483,20.37,20.458,11.453,49.765,23.442,54.804,28.372,18.659,8.079,37.99,12.413,34.807,#N/A N/A,37.958,11.604,26.709,25.6,7.718,20.424,23.335,50.979,#N/A N/A,13.461,9.985,20.795,32.495,44.257,16.327,25.717,24.383,#N/A N/A,9.55,8.222,39.526,22.431,25.8,#N/A N/A,47.363,#N/A N/A,39.252,58.657,#N/A N/A,56.298,43.728,24.723,15.148,22.794,24.09,8.764,43.719,25.286,13.35,45.372,17.026,47.048,145.44,143.2,4.1314,178.25528,266.35015,758.45446,441.27436,402.1561,4.407,51.17194,8736.16,103.58291,183.57468,1.8109,37308.92794,13559.73781
